# Testi nuovi o cambiati nella v7. Tipo|chiave|it|en|es|de|fr|pl|pt|ro|ru
# L = contenuto di un controllo, M = messaggio, H = descrizione a comparsa (it|en, oppure tutte e nove le lingue).
M|lic_ms|Microsoft|Microsoft|Microsoft|Microsoft|Microsoft|Microsoft|Microsoft|Microsoft|Microsoft
M|lic_pd|A pagamento|Paid|De pago|Kostenpflichtig|Payant|Płatna|Pago|Plătit|Платно
M|appInstalled|Installata|Installed|Instalada|Installiert|Installée|Zainstalowana|Instalado|Instalată|Установлено
M|appsNone|Nessuna app corrisponde ai filtri.|No app matches the filters.|Ninguna app coincide con los filtros.|Keine App passt zu den Filtern.|Aucune app ne correspond aux filtres.|Żadna aplikacja nie pasuje do filtrów.|Nenhum app corresponde aos filtros.|Nicio aplicație nu corespunde filtrelor.|Нет приложений по фильтрам.
M|appsInstalledTitle|Programmi installati ({0})|Installed programs ({0})|Programas instalados ({0})|Installierte Programme ({0})|Programmes installés ({0})|Zainstalowane programy ({0})|Programas instalados ({0})|Programe instalate ({0})|Установленные программы ({0})
M|appsUninstallSel|Disinstalla selezionate|Uninstall selected|Desinstalar seleccionadas|Ausgewählte deinstallieren|Désinstaller la sélection|Odinstaluj zaznaczone|Desinstalar selecionados|Dezinstalează selectate|Удалить выбранные
M|appsInstallSel|Installa selezionate|Install selected|Instalar seleccionadas|Ausgewählte installieren|Installer la sélection|Zainstaluj zaznaczone|Instalar selecionados|Instalează selectate|Установить выбранные
M|appsAllCategories|Tutte le categorie|All categories|Todas las categorías|Alle Kategorien|Toutes les catégories|Wszystkie kategorie|Todas as categorias|Toate categoriile|Все категории
M|appsAllLicenses|Tutte le licenze|All licenses|Todas las licencias|Alle Lizenzen|Toutes les licences|Wszystkie licencje|Todas as licenças|Toate licențele|Все лицензии
M|appsWorking|{0}... (in coda: {1})|{0}... (queued: {1})|{0}... (en cola: {1})|{0}... (in Warteschlange: {1})|{0}... (en attente : {1})|{0}... (w kolejce: {1})|{0}... (na fila: {1})|{0}... (în coadă: {1})|{0}... (в очереди: {1})
M|appsDone|Operazioni completate. Il dettaglio è nella finestra di PowerShell.|Operations completed. Details are in the PowerShell window.|Operaciones completadas. El detalle está en la ventana de PowerShell.|Vorgänge abgeschlossen. Details im PowerShell-Fenster.|Opérations terminées. Le détail est dans la fenêtre PowerShell.|Operacje zakończone. Szczegóły w oknie PowerShell.|Operações concluídas. Os detalhes estão na janela do PowerShell.|Operațiuni finalizate. Detaliile sunt în fereastra PowerShell.|Операции завершены. Подробности в окне PowerShell.
M|appsChecking|Controllo delle app già installate...|Checking installed apps...|Comprobando las apps instaladas...|Installierte Apps werden geprüft...|Vérification des apps installées...|Sprawdzanie zainstalowanych aplikacji...|Verificando os apps instalados...|Se verifică aplicațiile instalate...|Проверка установленных приложений...
M|appsInstalledCount|{0} pacchetti riconosciuti da winget su questo PC.|{0} packages recognized by winget on this PC.|{0} paquetes reconocidos por winget en este PC.|{0} Pakete von winget auf diesem PC erkannt.|{0} paquets reconnus par winget sur ce PC.|{0} pakietów rozpoznanych przez winget na tym PC.|{0} pacotes reconhecidos pelo winget neste PC.|{0} pachete recunoscute de winget pe acest PC.|{0} пакетов распознано winget на этом ПК.
M|appsAskUninstall|Disinstallo {0} programmi. Alcuni potrebbero aprire la propria finestra di disinstallazione. Procedo?|I'll uninstall {0} programs. Some may open their own uninstall window. Go ahead?|Desinstalo {0} programas. Algunos pueden abrir su propia ventana de desinstalación. ¿Sigo?|Ich deinstalliere {0} Programme. Manche öffnen ein eigenes Deinstallationsfenster. Fortfahren?|Je désinstalle {0} programmes. Certains peuvent ouvrir leur propre fenêtre de désinstallation. Je continue ?|Odinstaluję {0} programów. Niektóre mogą otworzyć własne okno deinstalacji. Kontynuować?|Vou desinstalar {0} programas. Alguns podem abrir a própria janela de desinstalação. Continuo?|Dezinstalez {0} programe. Unele pot deschide propria fereastră de dezinstalare. Continui?|Удалю программ: {0}. Некоторые могут открыть своё окно удаления. Продолжить?
M|appsUninstalling|Disinstallazione di|Uninstalling|Desinstalando|Deinstallation von|Désinstallation de|Odinstalowywanie|Desinstalando|Dezinstalare|Удаление
M|appsAskInstall|Installo {0} app con winget, una alla volta, senza finestre. Procedo?|I'll install {0} apps with winget, one at a time, silently. Go ahead?|Instalo {0} apps con winget, una a una, sin ventanas. ¿Sigo?|Ich installiere {0} Apps mit winget, nacheinander und ohne Fenster. Fortfahren?|J'installe {0} apps avec winget, une à la fois, sans fenêtres. Je continue ?|Zainstaluję {0} aplikacji przez winget, po kolei, bez okien. Kontynuować?|Vou instalar {0} apps com o winget, um por vez, sem janelas. Continuo?|Instalez {0} aplicații cu winget, pe rând, fără ferestre. Continui?|Установлю приложений: {0} через winget, по одному, без окон. Продолжить?
M|appsInstalling|Installazione di|Installing|Instalando|Installation von|Installation de|Instalowanie|Instalando|Instalare|Установка
M|appsAskUpgrade|Aggiorno con winget tutte le app che hanno una versione nuova. Può richiedere diversi minuti. Procedo?|I'll update every app with a newer version through winget. It may take several minutes. Go ahead?|Actualizo con winget todas las apps que tengan versión nueva. Puede tardar varios minutos. ¿Sigo?|Ich aktualisiere mit winget alle Apps mit neuer Version. Das kann einige Minuten dauern. Fortfahren?|Je mets à jour avec winget toutes les apps ayant une nouvelle version. Cela peut prendre plusieurs minutes. Je continue ?|Zaktualizuję przez winget wszystkie aplikacje z nową wersją. Może to potrwać kilka minut. Kontynuować?|Vou atualizar com o winget todos os apps com versão nova. Pode levar vários minutos. Continuo?|Actualizez cu winget toate aplicațiile cu versiune nouă. Poate dura câteva minute. Continui?|Обновлю через winget все приложения с новой версией. Это может занять несколько минут. Продолжить?
M|appsUpgradeAll|Aggiornamento di tutte le app|Updating all apps|Actualizando todas las apps|Alle Apps werden aktualisiert|Mise à jour de toutes les apps|Aktualizacja wszystkich aplikacji|Atualizando todos os apps|Actualizarea tuturor aplicațiilor|Обновление всех приложений
M|appsNoWinget|winget non è disponibile: installa «Programma di installazione app» dal Microsoft Store.|winget is not available: install «App Installer» from the Microsoft Store.|winget no está disponible: instala «Instalador de aplicación» desde Microsoft Store.|winget ist nicht verfügbar: Installiere «App-Installer» aus dem Microsoft Store.|winget n'est pas disponible : installe «Programme d'installation d'application» depuis le Microsoft Store.|winget jest niedostępny: zainstaluj «Instalator aplikacji» ze sklepu Microsoft Store.|O winget não está disponível: instale o «Instalador de Aplicativo» pela Microsoft Store.|winget nu este disponibil: instalează «Programul de instalare aplicații» din Microsoft Store.|winget недоступен: установите «Установщик приложений» из Microsoft Store.
H|chkNvP2|Il driver non abbassa più le frequenze della memoria quando parte un programma CUDA. Rendering e calcolo più veloci.|The driver stops lowering memory clocks when a CUDA program starts. Faster rendering and compute.|El controlador deja de bajar el reloj de la memoria cuando arranca un programa CUDA. Renderizado y cálculo más rápidos.|Der Treiber senkt den Speichertakt nicht mehr, wenn ein CUDA-Programm startet. Schnelleres Rendern und Rechnen.|Le pilote ne baisse plus la fréquence mémoire au lancement d'un programme CUDA. Rendu et calcul plus rapides.|Sterownik przestaje obniżać taktowanie pamięci po uruchomieniu programu CUDA. Szybsze renderowanie i obliczenia.|O driver deixa de baixar o clock da memória quando um programa CUDA inicia. Renderização e cálculo mais rápidos.|Driverul nu mai coboară frecvența memoriei când pornește un program CUDA. Randare și calcul mai rapide.|Драйвер перестаёт снижать частоту памяти при запуске программ CUDA. Быстрее рендеринг и вычисления.
H|chkNvDrsPower|La scheda resta alle frequenze alte invece di rallentare tra un fotogramma e l'altro. Meno cali di FPS.|The card stays at high clocks instead of slowing between frames. Fewer FPS drops.|La tarjeta se mantiene a frecuencias altas en lugar de bajar entre fotogramas. Menos caídas de FPS.|Die Karte bleibt auf hohem Takt, statt zwischen den Frames herunterzufahren. Weniger FPS-Einbrüche.|La carte reste à haute fréquence au lieu de ralentir entre les images. Moins de chutes de FPS.|Karta utrzymuje wysokie taktowanie zamiast zwalniać między klatkami. Mniej spadków FPS.|A placa fica em clocks altos em vez de desacelerar entre quadros. Menos quedas de FPS.|Placa rămâne la frecvențe mari în loc să încetinească între cadre. Mai puține căderi de FPS.|Карта держит высокие частоты, а не снижает их между кадрами. Меньше просадок FPS.
H|chkNvThreaded|I giochi OpenGL distribuiscono il lavoro del driver su più core.|OpenGL games spread the driver's work over several cores.|Los juegos OpenGL reparten el trabajo del controlador entre varios núcleos.|OpenGL-Spiele verteilen die Arbeit des Treibers auf mehrere Kerne.|Les jeux OpenGL répartissent le travail du pilote sur plusieurs cœurs.|Gry OpenGL rozkładają pracę sterownika na kilka rdzeni.|Jogos OpenGL distribuem o trabalho do driver em vários núcleos.|Jocurile OpenGL împart munca driverului pe mai multe nuclee.|Игры на OpenGL распределяют работу драйвера по нескольким ядрам.
H|chkNvTexPerf|Il filtro delle texture privilegia la velocità: qualche FPS in più, differenza visiva minima.|Texture filtering favors speed: a few more FPS, minimal visual difference.|El filtrado de texturas prioriza la velocidad: algunos FPS más, diferencia visual mínima.|Die Texturfilterung bevorzugt Tempo: ein paar FPS mehr, kaum sichtbarer Unterschied.|Le filtrage des textures privilégie la vitesse : quelques FPS en plus, différence visuelle minime.|Filtrowanie tekstur stawia na szybkość: kilka FPS więcej, minimalna różnica wizualna.|A filtragem de texturas prioriza a velocidade: alguns FPS a mais, diferença visual mínima.|Filtrarea texturilor favorizează viteza: câteva FPS în plus, diferență vizuală minimă.|Фильтрация текстур в пользу скорости: немного больше FPS, разница почти не видна.
H|chkNvAniso|Il filtro anisotropico usa meno campioni dove non si vede la differenza.|Anisotropic filtering takes fewer samples where the difference doesn't show.|El filtrado anisotrópico toma menos muestras donde la diferencia no se nota.|Die anisotrope Filterung nimmt weniger Samples, wo man den Unterschied nicht sieht.|Le filtrage anisotrope prend moins d'échantillons là où la différence ne se voit pas.|Filtrowanie anizotropowe pobiera mniej próbek tam, gdzie różnicy nie widać.|A filtragem anisotrópica usa menos amostras onde a diferença não aparece.|Filtrarea anizotropă ia mai puține eșantioane unde diferența nu se vede.|Анизотропная фильтрация берёт меньше выборок там, где разница незаметна.
H|chkNvShaderCache|Il driver non cancella gli shader compilati: meno scatti quando un gioco carica aree nuove.|The driver keeps compiled shaders: fewer stutters when a game loads new areas.|El controlador conserva los shaders compilados: menos tirones cuando un juego carga zonas nuevas.|Der Treiber behält kompilierte Shader: weniger Ruckler, wenn ein Spiel neue Bereiche lädt.|Le pilote conserve les shaders compilés : moins de saccades quand un jeu charge de nouvelles zones.|Sterownik zachowuje skompilowane shadery: mniej przycięć, gdy gra wczytuje nowe obszary.|O driver guarda os shaders compilados: menos travadas quando um jogo carrega novas áreas.|Driverul păstrează shaderele compilate: mai puține sacadări când un joc încarcă zone noi.|Драйвер хранит скомпилированные шейдеры: меньше фризов при загрузке новых зон.
H|chkNvDisplayPower|Il driver non abbassa la luminosità dello schermo per risparmiare energia.|The driver doesn't dim the screen to save power.|El controlador no atenúa la pantalla para ahorrar energía.|Der Treiber dunkelt den Bildschirm nicht zum Energiesparen ab.|Le pilote n'assombrit pas l'écran pour économiser de l'énergie.|Sterownik nie przyciemnia ekranu, by oszczędzać energię.|O driver não escurece a tela para economizar energia.|Driverul nu întunecă ecranul pentru a economisi energie.|Драйвер не затемняет экран ради экономии энергии.
